***********************************************************************************************************************
*    Row   * Instance *      jtpt *     refpt * chargedSu * photonSum * neutralSu *      eSum *     muSum *  trackSum *
*   202364 *        0 * 45.871818 * 50.569988 * 0.9659704 * 12.883365 * 22.630441 *         0 *         0 * 0.9659704 *
*   206087 *        1 * 50.825763 * 60.400016 *         0 * 21.268991 * 19.670820 *         0 *         0 *         0 *
*   206087 *        3 * 12.754496 * 57.211849 *         0 * 7.2320838 * 4.2651553 *         0 *         0 *         0 *
*   207261 *        0 * 101.77439 * 95.744689 * 69.302543 * 20.550005 *         0 *         0 *         0 * 69.302543 *
*   207261 *        1 * 59.107521 * 60.103511 * 34.633735 * 18.117355 * 0.6762422 *         0 *         0 * 34.633735 *
*   208378 *        0 * 34.150871 * 50.760936 *         0 * 37.611587 * 12.707690 *         0 *         0 *         0 *
*   211059 *        4 * 69.493667 * 76.942260 * 54.490642 * 65.414382 * 4.5034613 *         0 *         0 * 54.490642 *
*   213363 *        1 * 72.251243 * 50.520862 *         0 * 91.825683 * 50.415790 *         0 *         0 *         0 *
*   214513 *        0 * 52.475013 * 55.315509 * 22.461265 * 17.834009 * 6.6513023 *         0 *         0 * 22.461265 *
*   215870 *        1 * 47.925628 * 60.780246 * 4.2880926 * 22.073656 *  8.969841 *         0 *         0 * 4.2880926 *
*   218573 *        1 * 61.249984 * 69.543502 * 41.437763 * 9.6440925 * 7.5259308 *         0 *         0 * 41.437763 *
*   225674 *        2 * 32.855766 * 51.359016 * 14.783385 * 10.486413 * 10.070753 *         0 *         0 * 14.783385 *
*   226480 *        0 * 49.432403 * 51.101009 * 37.678875 * 4.9927816 * 2.0890836 *         0 *         0 * 37.678875 *
*   229129 *        0 * 64.482307 * 54.018894 * 54.372978 *         0 *         0 *         0 *         0 * 54.372974 *
*   232771 *        0 * 67.996185 * 51.626869 * 1.6140403 * 78.306633 * 26.595743 *         0 *         0 * 1.6140403 *
*   235480 *        0 * 77.310752 * 68.025245 * 31.462534 * 40.241184 * 1.4789391 *         0 *         0 * 31.462532 *
*   235903 *        0 * 60.356765 * 54.929786 * 41.531292 * 10.340913 * 1.5435023 *         0 *         0 * 41.531292 *
*   242435 *        1 * 27.605157 * 55.878768 * 15.001689 * 11.128980 * 9.4642219 *         0 *         0 * 15.001688 *
*   244034 *        0 * 73.508995 * 82.518600 * 33.606849 * 22.724357 * 23.007865 *         0 *         0 * 33.606849 *
*   244178 *        1 * 26.668804 * 51.735626 * 12.040827 * 2.4507160 * 7.4293632 *         0 *         0 * 12.040827 *
*   246564 *        0 * 65.385070 * 54.896915 * 27.818122 * 21.395763 * 11.311107 *         0 *         0 * 27.818126 *
*   252128 *        0 * 59.594936 * 55.833110 * 34.501709 * 14.414815 * 0.5769792 *         0 *         0 * 34.501709 *
*   252367 *        0 * 39.969467 * 51.663219 * 5.9695720 * 19.740356 * 12.031560 *         0 *         0 * 5.9695720 *
*   254307 *        0 * 55.886455 * 51.678245 * 38.580917 * 7.6080899 * 0.9422469 *         0 *         0 * 38.580921 *
*   258663 *        0 * 57.026157 * 57.409084 * 40.243076 * 9.2986097 * 1.0760220 *         0 *         0 * 40.243072 *
*   259233 *        0 * 66.724578 * 67.807251 * 18.352512 * 39.731910 *         0 *         0 *         0 * 18.352514 *
*   268853 *        0 * 70.198432 * 68.810928 * 46.603317 * 13.865025 * 2.6348934 *         0 *         0 * 46.603317 *
*   269772 *        1 * 44.238330 * 57.591938 * 25.934125 * 13.119131 * 3.6013543 *         0 *         0 * 25.934125 *
*   269876 *        1 * 42.139026 * 50.304580 *         0 * 29.154897 * 10.450231 *         0 *         0 *         0 *
*   273144 *        1 * 63.934421 * 65.637298 * 18.129310 * 43.779892 * 25.687431 *         0 *         0 * 18.129312 *
*   274183 *        0 * 55.964950 * 51.078369 * 23.120210 * 8.0393705 * 15.627389 *         0 *         0 * 23.120212 *
*   274316 *        2 * 54.602382 * 55.490913 * 34.474910 * 8.9829397 * 9.0099334 *         0 *         0 * 34.474910 *
*   275268 *        2 * 56.689048 * 50.640613 * 22.815280 * 22.588638 * 2.4546649 *         0 *         0 * 22.815280 *
*   282151 *        3 * 47.703239 * 56.752639 * 55.706993 * 22.290502 * 7.2301006 *         0 *         0 * 55.706989 *
*   282325 *        2 * 52.795642 * 62.323619 * 31.847202 * 10.532621 *         0 *         0 *         0 * 31.847202 *
*   292072 *        3 * 41.666614 * 54.798717 * 27.960119 * 51.697658 * 3.8165636 *         0 *         0 * 27.960121 *
*   301999 *        0 * 96.194152 * 78.511055 * 13.960682 * 66.703094 * 12.517303 *         0 *         0 * 13.960683 *
*   305583 *        1 * 64.153190 * 82.640754 * 16.980648 * 36.902168 * 2.3084514 *         0 *         0 * 16.980648 *
*   306903 *        3 * 50.305587 * 52.180671 * 69.837646 * 12.915684 *         0 *         0 *         0 * 71.525238 *
*   309396 *        2 * 68.920135 * 66.236114 *         0 * 9.4649162 * 72.930137 *         0 *         0 *         0 *
*   309738 *        1 * 66.550247 * 70.206359 * 38.073097 * 11.742970 * 9.6548128 *         0 *         0 * 38.073101 *
*   311485 *        0 * 50.163738 * 58.029804 * 6.8773088 * 1.8750777 * 4.0236101 * 26.471111 *         0 * 6.8773088 *
*   311610 *        0 * 98.367416 * 90.761444 * 69.903106 * 16.675596 *         0 *         0 *         0 * 69.903106 *
*   321438 *        0 * 49.183975 * 65.438758 * 39.358963 * 9.4324750 * 1.0714234 *         0 *         0 * 39.358966 *
*   326866 *        1 * 43.783054 * 55.760967 * 22.317428 * 14.742533 * 5.7236805 * 29.006763 *         0 * 22.317428 *
*   328543 *        0 * 62.297779 * 56.940258 * 53.993946 * 6.9733352 *         0 *         0 *         0 * 53.993946 *
*   329190 *        0 * 51.991558 * 63.712577 * 28.125436 * 38.310417 * 0.8248718 *         0 *         0 * 28.125438 *
***********************************************************************************************************************
==> 130 selected entries
